Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std
ZDT1,0.029618502286643988,0.02713336615184227,5.73269889573105,0.0824552042216507
ZDT2,0.6104614577368904,1.1292025708167404e-16,3.75,0.0
ZDT3,0.06586325263786791,0.03811734967446755,6.909231095422039,0.2532498928060961
ZDT4,17.48891142879851,3.1732623088168244,0.0,0.0
ZDT6,0.0012084598549429381,8.881146272706093e-05,5.153382151516122,7.758114476618016e-05
WFG1,1.4458141258677746,0.03563662099054449,44.3540411759118,1.1730844602619153
WFG2,0.3194293108542171,0.09019684833463248,90.56951891341669,4.236799589496717
WFG3,0.2846586527560078,0.028613296894605934,63.884125809049884,0.8954564078547937
WFG4,0.23794645820290602,0.009084499745246557,69.25790433192252,0.5762182377670166
WFG5,0.6193925073386864,0.15440832299252905,49.874366767880275,6.2870187432365245
WFG6,0.3980417360720432,0.025702337684591108,61.09761949190967,1.429090783869407
WFG7,0.39676451681156844,0.0061474111701407125,61.99644691160098,0.3808899054276289
WFG8,0.5169572867574262,0.023264062726177988,55.184806721158814,1.1359494487444646
WFG9,0.26166454259764615,0.015008576355190309,67.14375633712113,0.7813697122871958
